name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,now_cost,total_points_roll3,minutes_roll3,ict_index_roll3,season,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,clearances_blocks_interceptions,defensive_contribution,recoveries,tackles
Cédric Alves Soares,DEF,Arsenal,1.0,0,0,3,0,1.3,2,0.01,0.01,0.0,0.15,242,0,0,0.2,0.6,2024-02-17T15:00:00Z,21,6,0,0,0,0,25,0,40285,0,5,0,0.0,1,-363,696,1059,39,False,0,25,39,1.0,13.0,0.1,2023-24,,,,,,,,,,,,
Cédric Alves Soares,DEF,Arsenal,2.3,0,0,9,0,2.3,2,0.01,0.01,0.0,0.11,269,0,0,0.3,1.0,2024-03-04T20:00:00Z,25,17,0,0,0,0,27,0,41624,0,6,0,0.0,1,1809,2886,1077,38,False,0,27,38,1.0,17.0,0.15000000000000002,2023-24,,,,,,,,,,,,
Mohamed Elneny,MID,Arsenal,0.7,0,0,1,0,1.3,3,0.01,0.09,0.08,0.13,239,0,0,1.1,2.0,2024-02-11T14:00:00Z,23,19,0,0,0,0,24,0,7344,0,6,0,8.0,1,-59,70,129,44,False,0,24,44,4.0,1.0,0.4,2023-24,,,,,,,,,,,,
Mohamed Elneny,MID,Arsenal,0.0,0,0,3,0,0.3,3,0.0,0.0,0.0,0.0,251,0,0,0.1,0.2,2024-02-24T20:00:00Z,1,15,0,0,0,0,26,0,7391,0,1,4,0.0,1,-71,116,187,44,True,0,26,44,2.5,12.0,0.75,2023-24,,,,,,,,,,,,
Fábio Ferreira Vieira,MID,Arsenal,2.8,1,0,15,0,12.2,4,0.01,0.01,0.0,0.06,31,0,0,3.4,18.0,2023-09-03T15:30:00Z,13,14,0,0,0,0,4,0,11354,0,1,3,4.0,4,1049,1919,870,54,True,0,4,54,7.0,34.0,6.3,2023-24,,,,,,,,,,,,
Fábio Ferreira Vieira,MID,Arsenal,4.0,0,0,6,1,11.7,4,0.06,0.43,0.37,0.2,43,0,0,3.7,0.2,2023-09-17T15:30:00Z,79,9,0,0,0,0,5,0,12876,1,1,0,25.0,3,683,1862,1179,54,False,0,5,54,5.5,23.5,4.85,2023-24,,,,,,,,,,,,
Fábio Ferreira Vieira,MID,Arsenal,4.3,0,0,0,0,1.3,4,0.0,0.0,0.0,0.9,51,1,0,0.5,0.0,2023-09-24T13:00:00Z,45,18,0,0,0,0,6,0,14006,1,2,2,4.0,1,818,1881,1063,54,True,0,6,54,4.666666666666667,42.0,4.466666666666667,2023-24,,,,,,,,,,,,
Fábio Ferreira Vieira,MID,Arsenal,1.7,0,0,2,0,16.0,4,0.03,0.03,0.0,0.0,62,0,0,2.0,4.4,2023-09-30T14:00:00Z,14,3,0,0,0,0,7,0,14358,0,4,0,0.0,1,130,2573,2443,54,False,0,7,54,2.6666666666666665,45.666666666666664,2.533333333333333,2023-24,,,,,,,,,,,,
Fábio Ferreira Vieira,MID,Arsenal,3.0,0,0,22,0,5.6,4,0.02,0.81,0.79,0.0,91,0,1,5.8,33.4,2023-10-28T14:00:00Z,17,17,0,0,0,0,10,0,12005,0,0,5,19.0,6,-882,209,1091,54,True,0,10,54,1.6666666666666667,46.0,2.0666666666666664,2023-24,,,,,,,,,,,,
Fábio Ferreira Vieira,MID,Arsenal,2.3,0,0,2,0,1.2,4,0.01,0.01,0.0,0.0,107,0,0,0.2,0.4,2023-11-04T17:30:00Z,11,15,0,0,0,0,11,0,12276,0,0,1,0.0,1,76,604,528,54,False,0,11,54,2.6666666666666665,25.333333333333332,2.766666666666667,2023-24,,,,,,,,,,,,
Fábio Ferreira Vieira,MID,Arsenal,2.7,0,0,-7,0,0.3,4,0.0,0.0,0.0,0.07,111,0,0,0.0,0.0,2023-11-11T15:00:00Z,23,6,0,0,0,1,12,0,12399,0,1,3,0.0,-2,16,621,605,54,True,0,12,54,2.6666666666666665,14.0,2.6666666666666665,2023-24,,,,,,,,,,,,
Fábio Ferreira Vieira,MID,Arsenal,1.7,0,0,3,0,14.1,4,0.23,0.23,0.0,0.2,269,0,0,1.9,2.8,2024-03-04T20:00:00Z,45,17,0,0,0,0,27,0,8492,0,6,0,2.0,1,-8,25,33,54,False,0,27,54,1.6666666666666667,17.0,2.0000000000000004,2023-24,,,,,,,,,,,,
Fábio Ferreira Vieira,MID,Arsenal,1.2,0,0,2,0,0.3,4,0.01,0.01,0.0,0.15,312,0,0,0.0,0.0,2024-04-06T16:30:00Z,1,5,0,0,0,0,32,0,8600,0,3,0,0.0,1,-24,15,39,54,False,0,32,54,0.0,26.333333333333332,0.7000000000000002,2023-24,,,,,,,,,,,,
Fábio Ferreira Vieira,MID,Arsenal,2.6,0,0,0,0,10.8,4,0.05,0.1,0.05,0.0,281,0,0,1.7,0.6,2024-04-23T19:00:00Z,8,7,0,0,0,0,34,0,8627,0,0,5,6.0,1,-16,27,43,54,True,0,34,54,0.0,23.0,0.6333333333333336,2023-24,,,,,,,,,,,,
Gabriel dos Santos Magalhães,DEF,Arsenal,1.5,0,0,5,0,0.0,5,0.0,0.0,0.0,0.73,12,0,0,1.3,13.0,2023-08-21T19:00:00Z,20,8,0,0,0,0,2,0,2639445,0,1,0,0.0,1,-223848,61796,285644,50,False,0,2,50,1.0,4.0,0.0,2023-24,,,,,,,,,,,,
Gabriel dos Santos Magalhães,DEF,Arsenal,1.0,0,0,16,0,2.2,5,0.01,0.01,0.0,0.96,31,1,0,2.3,21.2,2023-09-03T15:30:00Z,90,14,0,0,0,0,4,0,1453168,1,1,3,0.0,2,-595383,13908,609291,48,True,0,4,48,1.0,12.0,0.65,2023-24,,,,,,,,,,,,
Gabriel dos Santos Magalhães,DEF,Arsenal,2.5,0,0,23,1,4.2,5,0.02,0.02,0.0,0.3,43,0,0,2.4,19.6,2023-09-17T15:30:00Z,90,9,0,0,0,0,5,0,1350616,1,1,0,0.0,5,-128729,32915,161644,48,False,1,5,48,1.3333333333333333,38.0,1.2,2023-24,,,,,,,,,,,,
Gabriel dos Santos Magalhães,DEF,Arsenal,2.5,0,0,11,0,1.7,5,0.01,0.08,0.07,1.5,51,2,0,1.8,7.8,2023-09-24T13:00:00Z,90,18,0,0,0,0,6,0,1293725,1,2,2,8.0,1,-62499,21035,83534,48,True,0,6,48,2.6666666666666665,66.66666666666667,2.0,2023-24,,,,,,,,,,,,
